Name,Date,Day,Friends,Group,Notes,Rating,Type,URL,Weekday
CAFE ANNON,,,,Osaka,Fluffy pancakes and parfaits. Credit cards and reservations accepted. Fluffy pancakes. 9AM-8PM,,Food,"Website:
https://cafe-annon.com/

Maps:
437",
Abura Soba Kirinji,"November 29, 2025 12:00 PM (GMT)",Day 16,"Henry, Nanako",Osaka,"Abura soba noodles. 11:30 AM-12 AM. Cash only. Small shop, expect queue",,Food,"Website:
http://suzume-group.co.jp/

Maps:
https://maps.app.goo.gl/64tow3dcfc9DXiPR6",Saturday
Suga Jinja,,,,Tokyo,Your Name red staircase shrine,,Attractions,"Maps:
https://maps.app.goo.gl/u5czWEeQLwqh6m459",
NAMU CAFE,,,,Tokyo,11 AM-8 PM. Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/wa9jngMNK3XtENid9",
CAFE REISSUE,,,,Tokyo,"2-D and 3-D cafe drinks. 10 AM-7 PM, Monday closed. Cash only",,Food,"Maps:
https://maps.app.goo.gl/8CERea4nJRV7FuAy5",
Ikeda-ya TeaStore,,,,Tokyo,Matcha store,,Shopping,Maps: https://maps.app.goo.gl/3pMhNcpUxz6C2Pwv8?g_st=com.google.maps.preview.copy,
Togoshiya,,,,Tokyo,24/7 onigiri shop. Credit cards OK. Perfect late-night or early morning fuel,,Food,"Maps:
https://maps.app.goo.gl/DyFfXEkHtWwGUb68A",Friday
Rikuro's,"November 29, 2025 3:00 PM (GMT)",Day 16,"Henry, Nanako",Osaka,Fluffy pancakes. 9AM-8PM,,Food,"Maps:
https://maps.app.goo.gl/9cTCM2ttxx1aBfUv9",Saturday
Bakery Bank,,,,Tokyo,Curry bun plus cafe. 8 AM-6 PM (close on Wed). Credit cards accepted,,Food,"Maps:
https://maps.app.goo.gl/dyyw97AUPUUvf6wc8",
Nishiki Market,"November 20, 2025 10:30 AM (GMT)",Day 7,,Kyoto,"Fresh and preserved foods, duck specialties, Japanese sweets, and pickles. 9AM-6PM",,Food,Maps: https://maps.app.goo.gl/6tchB7v6v9ii5EK37,Thursday
Unitora Nakadori,,,,Tokyo,Uni bowls at Tsukiji Outer Market. 7 AM-9 PM. Cash only. Famous for fresh sea urchin,,Food,"Maps:
https://maps.app.goo.gl/wvGg2JEwQevcSjJ26",Tuesday
Arashiyama Itsukichaya,"November 20, 2025 6:00 PM (GMT)",Day 7,,Kyoto,Traditional Arashiyama dining. Book via TableCheck. Riverside setting with seasonal menu,,"Food, Needs Booking","Website:
https://www.tablecheck.com/en/shops/itsukichaya/reserve

Maps:
https://maps.app.goo.gl/WwHyr5rySc9QFQu29",Thursday
Gion Komori,,,,Kyoto,"11 AM–6:30 PM, close on Mon. Cash only, ¥1700",,Food,"Maps:
https://maps.app.goo.gl/FsdmZ3UZ8UqwQTh87",
Shinpachi Shokudō,,,,Tokyo,4AM-3AM everyday,,Food,Maps: https://maps.app.goo.gl/teLUUnYkXSWBmkQu7,
Gyukatsu Motomura,"November 29, 2025 7:00 PM (GMT)",Day 16,"Henry, Nanako",Osaka,Credit cards accepted,,Food,Maps: https://maps.app.goo.gl/gXYVh9nwxNe25nZV8,Saturday
Shabusen,,,,Tokyo,"All-you-can-eat shabu shabu. 11 AM-3:30 PM, 5-9 PM. Credit cards accepted",,Food,Maps: 1114,Friday
Waka Kimono Rental,,,,Kyoto,Kimono rental near Kiyomizu. 9 AM-6 PM. No booking required. Great for temple photos,,Attractions,"Website:
https://kyoto-photostudio.com/

Maps:
https://maps.app.goo.gl/daKsGA2UoBJPbY838",
